date,views
2015-07-01,24801
2015-08-01,27666
2015-09-01,36935
2015-10-01,27582
2015-11-01,25784
2015-12-01,23499
2016-01-01,33989
2016-02-01,33337
2016-03-01,29018
2016-04-01,25544
2016-05-01,27235
2016-06-01,26957
2016-07-01,19959
2016-08-01,21623
2016-09-01,41466
2016-10-01,36754
2016-11-01,36208
2016-12-01,24953
2017-01-01,26172
2017-02-01,24666
2017-03-01,25866
2017-04-01,21452
2017-05-01,23587
2017-06-01,22594
2017-07-01,18060
2017-08-01,17460
2017-09-01,21127
2017-10-01,25163
2017-11-01,26069
2017-12-01,19633
2018-01-01,21971
2018-02-01,23297
2018-03-01,25583
2018-04-01,25087
2018-05-01,25057
2018-06-01,22896
2018-07-01,21053
2018-08-01,23414
2018-09-01,32368
2018-10-01,31103
2018-11-01,32005
2018-12-01,47907
2019-01-01,38181
2019-02-01,33143
2019-03-01,41852
2019-04-01,34790
2019-05-01,32009
2019-06-01,27628
2019-07-01,28901
2019-08-01,136692
2019-09-01,68140
2019-10-01,51184
2019-11-01,39990
2019-12-01,31267
2020-01-01,30072
2020-02-01,34848
2020-03-01,250738
2020-04-01,141788
2020-05-01,78890
2020-06-01,50110
2020-07-01,30137
2020-08-01,60374
2020-09-01,30949
2020-10-01,24116
2020-11-01,30633
2020-12-01,20360
2021-01-01,19746
2021-02-01,19314
2021-03-01,18352
2021-04-01,13849
2021-05-01,13257
2021-06-01,11160
2021-07-01,12777
2021-08-01,12432
2021-09-01,14772
2021-10-01,17617
2021-11-01,15813
2021-12-01,14393
2022-01-01,19225
2022-02-01,21308
2022-03-01,49593
2022-04-01,72497
2022-05-01,114930
2022-06-01,220683
2022-07-01,535267
2022-08-01,265495
2022-09-01,89447
2022-10-01,105669
2022-11-01,106887
2022-12-01,53626
2023-01-01,64355
2023-02-01,38415
2023-03-01,44381
2023-04-01,26999
2023-05-01,34880
2023-06-01,29749
2023-07-01,24584
2023-08-01,25150
2023-09-01,21498
2023-10-01,22203
2023-11-01,20416
2023-12-01,20861
2024-01-01,24474
2024-02-01,52347
2024-03-01,22827
2024-04-01,20064
2024-05-01,17789
2024-06-01,13020
2024-07-01,15133
2024-08-01,62907
2024-09-01,24586
2024-10-01,18484
2024-11-01,21530
2024-12-01,17040
2025-01-01,15944
2025-02-01,16312
2025-03-01,64478
2025-04-01,83112
2025-05-01,20079
2025-06-01,11969
2025-07-01,11014
2025-08-01,12725
2025-09-01,13121
2025-10-01,12842
2025-11-01,12234
2025-12-01,10164
2026-01-01,9986
2026-02-01,8149
2026-03-01,17130
2026-04-01,13082
